unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1674986400,2023-01-29 10:00:00,ETH/USD,1601.7,1615.1,1601.5,1612.3,275.67550425,444471.615502275
1675000800,2023-01-29 14:00:00,ETH/USD,1612.4,1616.8,1606.0,1616.1,380.09067635,614264.542049235
1675015200,2023-01-29 18:00:00,ETH/USD,1618.4,1633.5,1614.4,1629.5,188.17989223,306639.134388785
1675029600,2023-01-29 22:00:00,ETH/USD,1643.7,1645.4,1640.6,1642.9,126.78372485,208292.981556065
1675044000,2023-01-30 02:00:00,ETH/USD,1638.7,1638.9,1631.8,1636.2,181.49451764,296961.329762568
1675058400,2023-01-30 06:00:00,ETH/USD,1636.1,1636.9,1625.3,1629.7,248.46828597,404928.765645309
1675072800,2023-01-30 10:00:00,ETH/USD,1585.3,1595.6,1577.0,1584.9,742.97851059,1177546.6414340911
1675087200,2023-01-30 14:00:00,ETH/USD,1576.9,1596.6,1575.3,1596.6,446.25559545,712491.68369547
1675101600,2023-01-30 18:00:00,ETH/USD,1580.2,1583.4,1573.9,1578.4,449.52279681,709526.782484904
1675116000,2023-01-30 22:00:00,ETH/USD,1556.7,1566.0,1545.9,1564.3,291.24210892,455590.030983556
1675130400,2023-01-31 02:00:00,ETH/USD,1570.6,1575.6,1569.5,1569.7,116.86808646,183447.835316262
1675144800,2023-01-31 06:00:00,ETH/USD,1562.4,1569.2,1562.4,1565.9,245.80085828,384899.563980652
1675159200,2023-01-31 10:00:00,ETH/USD,1572.2,1574.0,1566.0,1567.4,93.16578992,146028.059120608
1675173600,2023-01-31 14:00:00,ETH/USD,1588.0,1589.1,1579.9,1583.4,280.45868482,444078.281543988
1675188000,2023-01-31 18:00:00,ETH/USD,1592.9,1595.5,1590.5,1595.1,980.37943329,1563803.234040879
1675202400,2023-01-31 22:00:00,ETH/USD,1577.4,1599.9,1571.3,1591.0,150.23863801,239029.67307391
